ID	Assessment	Class	Group_Number	Group	Subgroup	Scope	Severity	Irreversibility	Criticality_20_years_ago	Overall_criticality	Trend_of_change_(of_current_criticality)	Criticality_in_the_next_20_years	Systemic_activity_(level_of_activity)	Systemic_activity_(no._of_influenced_elements)	Systemic_Activity	Strategic_Relevance_(Value)	Strategic_Relevance_(Rank)	Manageability	Knowledge	Rank	Region	Climate	Human_Development_Index
376	DE-RAN	Factor	9	Socio-economic_factors	NA	3	3	2	2	3	2	2	2	1	2	9	2	1	3	7	World	Temperate	Very
377	DE-RAN	Factor	9	Socio-economic_factors	NA	1	4	2	1	3	2	2	3	1	2	9	2	2	1	7	World	Temperate	Very
378	DE-RAN	Factor	7	Natural_resource-use_related_factors	NA	3	3	2	1	3	2	2	2	2	2	9	2	3	2	7	World	Temperate	Very
379	DE-RAN	Factor	4	Infrastructure-related_factors	NA	2	3	3	1	3	1	4	1	1	1	9	2	3	1	7	World	Temperate	Very
380	DE-RAN	Factor	8	Socio-cultural_factors	NA	2	2	3	2	3	2	2	3	1	2	9	2	2	2	7	World	Temperate	Very
381	DE-RAN	Factor	4	Infrastructure-related_factors	NA	4	1	2	1	3	1	3	3	1	2	9	2	2	4	7	World	Temperate	Very
382	DE-RAN	Factor	5	Institutional_factors	NA	4	4	2	2	3	2	3	2	1	2	10	2	3	2	6	World	Temperate	Very
383	DE-RAN	Factor	7	Natural_resource-use_related_factors	NA	2	4	3	1	3	3	3	2	1	2	11	2	3	2	5	World	Temperate	Very
384	DE-RAN	Factor	5	Institutional_factors	NA	3	4	3	1	4	3	2	1	1	1	10	2	2	2	6	World	Temperate	Very
385	DE-RAN	Factor	5	Institutional_factors	NA	3	4	2	2	3	3	2	3	1	2	10	2	3	2	6	World	Temperate	Very
386	DE-RAN	Factor	8	Socio-cultural_factors	NA	3	3	3	1	3	3	2	2	1	2	10	2	2	2	6	World	Temperate	Very
387	DE-RAN	Factor	2	Governance-related_factors	NA	3	4	3	2	4	2	2	2	1	2	10	2	3	2	6	World	Temperate	Very
388	DE-RAN	Factor	2	Governance-related_factors	NA	3	3	2	1	3	2	2	3	2	3	10	2	2	2	6	World	Temperate	Very
389	DE-RAN	Factor	8	Socio-cultural_factors	NA	3	3	3	2	3	2	2	3	2	3	10	2	3	2	6	World	Temperate	Very
390	DE-RAN	Factor	9	Socio-economic_factors	NA	3	2	3	1	3	3	3	1	1	1	10	2	4	3	6	World	Temperate	Very
391	DE-RAN	Factor	7	Natural_resource-use_related_factors	NA	2	3	3	2	3	2	2	3	3	3	10	2	2	2	6	World	Temperate	Very
392	DE-RAN	Factor	7	Natural_resource-use_related_factors	NA	4	3	2	2	3	2	4	1	1	1	10	2	2	2	6	World	Temperate	Very
393	DE-RAN	Factor	4	Infrastructure-related_factors	NA	3	3	3	2	3	2	3	3	1	2	10	2	3	2	6	World	Temperate	Very
394	DE-RAN	Factor	8	Socio-cultural_factors	NA	3	3	3	2	3	2	3	3	1	2	10	2	3	2	6	World	Temperate	Very
395	DE-RAN	Factor	9	Socio-economic_factors	NA	4	3	2	1	3	3	2	2	1	2	10	2	4	2	6	World	Temperate	Very
396	DE-RAN	Factor	6	Natural_factors	NA	4	2	3	2	3	2	3	3	1	2	10	2	4	2	6	World	Temperate	Very
397	DE-RAN	Factor	7	Natural_resource-use_related_factors	NA	1	2	3	1	3	3	3	1	1	1	10	2	3	3	6	World	Temperate	Very
398	DE-RAN	Factor	5	Institutional_factors	NA	4	4	2	1	3	3	2	3	2	3	11	3	2	1	5	World	Temperate	Very
399	DE-RAN	Factor	5	Institutional_factors	NA	4	3	3	1	4	2	2	3	3	3	11	3	1	2	5	World	Temperate	Very
400	DE-RAN	Factor	5	Institutional_factors	NA	4	4	3	1	4	3	2	3	1	2	11	3	1	1	5	World	Temperate	Very
401	DE-RAN	Factor	8	Socio-cultural_factors	NA	3	4	3	2	4	3	2	2	1	2	11	3	2	2	5	World	Temperate	Very
402	DE-RAN	Factor	5	Institutional_factors	NA	4	4	2	2	3	3	2	1	4	3	11	3	2	2	5	World	Temperate	Very
403	DE-RAN	Factor	8	Socio-cultural_factors	NA	4	3	3	2	4	2	3	3	1	2	11	3	3	2	5	World	Temperate	Very
404	DE-RAN	Factor	9	Socio-economic_factors	NA	2	3	2	2	3	2	2	4	4	4	11	3	1	1	5	World	Temperate	Very
405	DE-RAN	Factor	2	Governance-related_factors	NA	4	3	2	1	3	2	3	3	2	3	11	3	4	1	5	World	Temperate	Very
406	DE-RAN	Factor	7	Natural_resource-use_related_factors	NA	3	2	2	1	3	3	4	1	0	1	11	3	3	3	5	World	Temperate	Very
407	DE-RAN	Factor	8	Socio-cultural_factors	NA	3	3	3	1	3	3	4	3	1	2	12	3	3	3	4	World	Temperate	Very
408	DE-RAN	Factor	9	Socio-economic_factors	NA	4	3	3	2	4	3	4	1	1	1	12	3	3	2	4	World	Temperate	Very
409	DE-RAN	Factor	9	Socio-economic_factors	NA	3	3	1	1	2	3	4	3	2	3	12	3	4	1	4	World	Temperate	Very
410	DE-RAN	Factor	2	Governance-related_factors	NA	4	3	3	1	4	3	2	3	2	3	12	3	4	3	4	World	Temperate	Very
411	DE-RAN	Factor	2	Governance-related_factors	NA	2	3	3	1	3	3	4	2	2	2	12	3	3	2	4	World	Temperate	Very
412	DE-RAN	Factor	2	Governance-related_factors	NA	3	3	3	1	3	3	3	3	2	3	12	3	4	3	4	World	Temperate	Very
413	DE-RAN	Factor	7	Natural_resource-use_related_factors	NA	2	3	4	1	4	3	4	1	1	1	12	3	3	3	4	World	Temperate	Very
414	DE-RAN	Factor	5	Institutional_factors	NA	4	4	3	1	4	3	3	3	2	3	13	3	2	2	3	World	Temperate	Very
415	DE-RAN	Factor	9	Socio-economic_factors	NA	3	3	3	1	3	3	4	3	2	3	13	3	4	2	3	World	Temperate	Very
416	DE-RAN	Factor	2	Governance-related_factors	NA	4	3	3	2	4	3	4	3	1	2	13	3	3	2	3	World	Temperate	Very
417	DE-RAN	Factor	7	Natural_resource-use_related_factors	NA	3	3	4	2	4	3	4	2	1	2	13	3	4	1	3	World	Temperate	Very
418	DE-RAN	Factor	9	Socio-economic_factors	NA	3	4	3	2	4	4	4	3	1	2	14	4	4	1	2	World	Temperate	Very
419	DE-RAN	Factor	8	Socio-cultural_factors	NA	3	3	3	1	3	3	4	4	3	4	14	4	1	3	2	World	Temperate	Very
420	DE-RAN	Factor	9	Socio-economic_factors	NA	3	4	3	3	4	3	3	4	4	4	14	4	3	3	2	World	Temperate	Very
421	DE-RAN	Factor	2	Governance-related_factors	NA	3	3	4	2	4	3	4	3	2	3	14	4	4	1	2	World	Temperate	Very
422	DE-RAN	Factor	2	Governance-related_factors	NA	3	3	4	1	4	4	4	3	1	2	14	4	4	1	2	World	Temperate	Very
423	DE-RAN	Factor	6	Natural_factors	NA	4	3	4	1	4	3	4	4	4	4	15	4	4	3	1	World	Temperate	Very
424	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	3	2	2	2	3	3	3	1	1	1	10	2	2	2	3	World	Temperate	High
425	RU-ALY	Factor	4	Infrastructure-related_factors	NA	1	4	3	1	3	3	3	2	2	2	11	3	3	2	2	World	Temperate	High
426	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	3	2	2	2	2	2	1	2	2	8	2	2	2	5	World	Temperate	High
427	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	2	2	2	2	2	2	3	2	3	9	2	2	2	4	World	Temperate	High
428	RU-ALY	Factor	6	Natural_factors	NA	2	2	2	1	2	3	3	2	1	2	10	2	4	2	3	World	Temperate	High
429	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	2	2	2	2	3	1	2	8	2	2	1	5	World	Temperate	High
430	RU-ALY	Factor	4	Infrastructure-related_factors	NA	1	2	3	2	3	2	1	3	2	3	9	2	3	2	4	World	Temperate	High
431	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	1	2	2	2	3	3	2	2	2	10	2	3	3	3	World	Temperate	High
432	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	1	2	2	2	2	2	2	2	2	8	2	2	2	5	World	Temperate	High
433	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	3	1	2	1	2	4	3	1	2	2	11	3	2	1	2	World	Temperate	High
434	RU-ALY	Factor	5	Institutional_factors	NA	3	2	2	3	3	2	2	4	4	4	11	3	2	2	2	World	Temperate	High
435	RU-ALY	Factor	3	Industrial_production-related_factors	NA	1	2	2	2	2	2	2	4	3	4	10	2	3	4	3	World	Temperate	High
436	RU-ALY	Factor	3	Industrial_production-related_factors	NA	1	2	2	2	2	2	2	3	2	3	9	2	4	4	4	World	Temperate	High
437	RU-ALY	Factor	9	Socio-economic_factors	NA	1	2	2	2	2	2	2	2	1	2	8	2	3	2	5	World	Temperate	High
438	RU-ALY	Factor	10	Spatial_factors	NA	1	1	4	2	3	2	2	3	1	2	9	2	4	1	4	World	Temperate	High
439	RU-ALY	Factor	8	Socio-cultural_factors	NA	2	2	3	2	3	2	2	3	2	3	10	2	4	3	3	World	Temperate	High
440	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	2	2	2	2	2	2	2	1	2	8	2	3	3	5	World	Temperate	High
441	RU-ALY	Factor	9	Socio-economic_factors	NA	1	1	2	3	2	2	2	3	2	3	9	2	3	2	4	World	Temperate	High
442	RU-ALY	Factor	9	Socio-economic_factors	NA	1	1	3	2	2	2	2	2	1	2	8	2	2	1	5	World	Temperate	High
443	RU-ALY	Factor	8	Socio-cultural_factors	NA	2	2	2	2	2	2	1	3	1	2	7	1	2	3	6	World	Temperate	High
444	RU-ALY	Factor	6	Natural_factors	NA	3	1	2	1	2	2	2	2	1	2	8	2	4	2	5	World	Temperate	High
445	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	1	2	2	2	2	2	1	1	1	7	1	3	3	6	World	Temperate	High
446	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	2	2	2	2	1	2	2	8	2	4	3	5	World	Temperate	High
447	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	2	2	2	2	1	1	1	7	1	3	3	6	World	Temperate	High
448	RU-ALY	Factor	5	Institutional_factors	NA	2	1	2	2	2	2	2	1	1	1	7	1	2	3	6	World	Temperate	High
449	RU-ALY	Factor	5	Institutional_factors	NA	3	1	2	2	2	2	2	1	1	1	7	1	2	2	6	World	Temperate	High
450	RU-ALY	Factor	5	Institutional_factors	NA	3	1	2	2	2	2	2	2	1	2	8	2	2	2	5	World	Temperate	High
451	RU-ALY	Factor	5	Institutional_factors	NA	1	1	2	2	2	2	2	2	1	2	8	2	3	1	5	World	Temperate	High
452	RU-ALY	Factor	5	Institutional_factors	NA	2	1	2	2	2	2	2	1	1	1	7	1	3	1	6	World	Temperate	High
453	RU-ALY	Factor	5	Institutional_factors	NA	2	1	2	1	2	2	2	1	1	1	7	1	2	1	6	World	Temperate	High
454	RU-ALY	Factor	5	Institutional_factors	NA	3	2	2	2	3	2	2	2	1	2	9	2	2	1	4	World	Temperate	High
455	RU-ALY	Factor	5	Institutional_factors	NA	3	1	2	3	2	2	2	1	1	1	7	1	2	1	6	World	Temperate	High
456	RU-ALY	Factor	2	Governance-related_factors	NA	2	1	2	2	2	2	2	1	1	1	7	1	4	3	6	World	Temperate	High
457	RU-ALY	Factor	3	Industrial_production-related_factors	NA	1	1	2	2	2	2	2	1	1	1	7	1	2	2	6	World	Temperate	High
458	RU-ALY	Factor	5	Institutional_factors	NA	2	1	2	2	2	2	2	4	4	4	10	2	3	1	3	World	Temperate	High
459	RU-ALY	Factor	9	Socio-economic_factors	NA	1	1	2	2	2	2	2	3	1	2	8	2	3	3	5	World	Temperate	High
460	RU-ALY	Factor	2	Governance-related_factors	NA	2	2	2	2	2	2	2	2	1	2	8	2	2	2	5	World	Temperate	High
461	RU-ALY	Factor	9	Socio-economic_factors	NA	2	2	2	2	2	2	2	2	1	2	8	2	3	2	5	World	Temperate	High
462	RU-ALY	Factor	8	Socio-cultural_factors	NA	2	1	2	2	2	3	3	3	2	3	11	3	2	1	2	World	Temperate	High
463	RU-ALY	Factor	8	Socio-cultural_factors	NA	2	1	2	2	2	2	2	2	2	2	8	2	2	2	5	World	Temperate	High
464	RU-ALY	Factor	8	Socio-cultural_factors	NA	3	1	2	2	2	2	2	1	1	1	7	1	2	1	6	World	Temperate	High
465	RU-ALY	Factor	9	Socio-economic_factors	NA	2	1	2	3	2	2	2	3	3	3	9	2	2	2	4	World	Temperate	High
466	RU-ALY	Factor	5	Institutional_factors	NA	3	2	2	1	3	2	2	2	1	2	9	2	3	3	4	World	Temperate	High
467	RU-ALY	Factor	2	Governance-related_factors	NA	2	1	2	2	2	2	2	4	4	4	10	2	4	1	3	World	Temperate	High
468	RU-ALY	Factor	2	Governance-related_factors	NA	3	1	2	2	2	1	2	3	2	3	8	2	4	2	5	World	Temperate	High
469	RU-ALY	Factor	4	Infrastructure-related_factors	NA	1	1	2	3	2	4	3	3	2	3	12	3	2	1	1	World	Temperate	High
470	RU-ALY	Factor	5	Institutional_factors	NA	1	2	2	2	2	2	2	3	2	3	9	2	3	3	4	World	Temperate	High
471	RU-ALY	Factor	8	Socio-cultural_factors	NA	3	2	2	1	3	3	3	1	1	1	10	2	3	2	3	World	Temperate	High
472	RU-ALY	Factor	9	Socio-economic_factors	NA	3	2	2	3	3	2	2	3	2	3	10	2	3	2	3	World	Temperate	High
473	RU-ALY	Factor	9	Socio-economic_factors	NA	1	1	2	2	2	2	2	3	2	3	9	2	4	2	4	World	Temperate	High
474	RU-ALY	Factor	5	Institutional_factors	NA	3	2	2	2	3	2	2	1	1	1	8	2	2	3	5	World	Temperate	High
475	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	1	2	2	2	2	2	3	2	3	9	2	2	3	4	World	Temperate	High
476	RU-ALY	Factor	5	Institutional_factors	NA	2	1	2	2	2	4	3	1	1	1	10	2	2	1	3	World	Temperate	High
477	RU-ALY	Factor	5	Institutional_factors	NA	1	2	2	1	2	2	2	1	1	1	7	1	2	2	6	World	Temperate	High
478	RU-ALY	Factor	5	Institutional_factors	NA	1	1	2	2	2	2	2	3	2	3	9	2	3	3	4	World	Temperate	High
479	RU-ALY	Factor	5	Institutional_factors	NA	2	2	2	1	2	3	3	4	4	4	12	3	4	3	1	World	Temperate	High
480	RU-ALY	Factor	5	Institutional_factors	NA	2	1	2	3	2	2	2	4	4	4	10	2	2	1	3	World	Temperate	High
481	RU-ALY	Factor	2	Governance-related_factors	NA	1	1	2	4	2	1	1	3	1	2	6	1	3	2	7	World	Temperate	High
482	RU-ALY	Factor	5	Institutional_factors	NA	2	1	2	3	2	2	2	3	2	3	9	2	2	1	4	World	Temperate	High
483	RU-ALY	Factor	5	Institutional_factors	NA	4	1	2	4	3	1	1	3	1	2	7	1	2	1	6	World	Temperate	High
484	RU-ALY	Factor	5	Institutional_factors	NA	1	1	2	4	2	2	2	3	1	2	8	2	2	1	5	World	Temperate	High
485	RU-ALY	Factor	8	Socio-cultural_factors	NA	1	2	2	2	2	2	2	3	2	3	9	2	2	2	4	World	Temperate	High
486	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	1	2	2	2	2	2	1	1	1	7	1	2	2	6	World	Temperate	High
487	RU-ALY	Factor	9	Socio-economic_factors	NA	3	2	2	2	3	2	2	3	1	2	9	2	3	2	4	World	Temperate	High
488	RU-ALY	Factor	9	Socio-economic_factors	NA	1	1	2	3	2	2	2	2	2	2	8	2	4	2	5	World	Temperate	High
489	RU-ALY	Factor	9	Socio-economic_factors	NA	1	1	2	4	2	3	2	1	1	1	8	2	2	2	5	World	Temperate	High
490	RU-ALY	Factor	9	Socio-economic_factors	NA	2	2	2	1	2	2	2	4	4	4	10	2	3	2	3	World	Temperate	High
491	RU-ALY	Factor	2	Governance-related_factors	NA	1	2	3	1	3	2	3	3	1	2	10	2	2	1	3	World	Temperate	High
492	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	1	2	2	2	3	1	2	8	2	4	2	5	World	Temperate	High
493	RU-ALY	Factor	10	Spatial_factors	NA	1	1	4	2	3	2	2	3	1	2	9	2	4	1	4	World	Temperate	High
494	RU-ALY	Factor	2	Governance-related_factors	NA	1	1	2	1	2	3	3	2	2	2	10	2	4	3	3	World	Temperate	High
495	RU-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	2	3	1	3	3	2	3	1	2	10	2	4	2	3	World	Temperate	High
496	RU-ALY	Factor	9	Socio-economic_factors	NA	1	1	2	2	2	3	2	2	2	2	9	2	3	2	4	World	Temperate	High
497	RU-ALY	Factor	9	Socio-economic_factors	NA	3	2	2	2	3	2	2	3	1	2	9	2	4	2	4	World	Temperate	High
498	RU-ALY	Factor	6	Natural_factors	NA	1	2	4	1	3	3	2	1	1	1	9	2	4	2	4	World	Temperate	High
499	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	2	2	2	1	1	1	1	6	1	2	2	7	World	Temperate	High
500	KZ-ALY	Factor	4	Infrastructure-related_factors	NA	1	1	3	2	2	2	2	2	2	2	8	2	3	3	5	World	Temperate	High
501	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	1	3	2	2	2	2	1	2	2	8	2	3	2	5	World	Temperate	High
502	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	3	2	2	2	3	2	3	9	2	3	2	4	World	Temperate	High
503	KZ-ALY	Factor	6	Natural_factors	NA	2	2	2	1	2	3	3	2	1	2	10	1	4	2	3	World	Temperate	High
504	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	2	2	2	2	3	1	2	8	2	2	2	5	World	Temperate	High
505	KZ-ALY	Factor	4	Infrastructure-related_factors	NA	1	2	3	2	3	2	4	3	2	3	12	3	4	2	1	World	Temperate	High
506	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	1	2	1	2	3	3	2	2	2	10	2	2	1	3	World	Temperate	High
507	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	3	3	3	2	2	2	2	2	9	2	2	2	4	World	Temperate	High
508	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	1	2	3	2	2	2	1	2	2	8	2	2	2	5	World	Temperate	High
509	KZ-ALY	Factor	5	Institutional_factors	NA	3	2	2	3	3	2	2	4	4	4	11	3	2	2	2	World	Temperate	High
510	KZ-ALY	Factor	3	Industrial_production-related_factors	NA	1	2	2	2	2	2	2	4	3	4	10	2	3	4	3	World	Temperate	High
511	KZ-ALY	Factor	3	Industrial_production-related_factors	NA	1	2	2	2	2	2	2	3	2	3	9	2	4	4	4	World	Temperate	High
512	KZ-ALY	Factor	9	Socio-economic_factors	NA	1	2	2	2	2	2	2	2	1	2	8	2	3	2	5	World	Temperate	High
513	KZ-ALY	Factor	10	Spatial_factors	NA	2	2	2	1	2	2	2	3	1	2	8	2	2	1	5	World	Temperate	High
514	KZ-ALY	Factor	8	Socio-cultural_factors	NA	1	1	2	2	2	2	2	3	2	3	9	2	3	2	4	World	Temperate	High
515	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	2	2	2	2	2	2	2	1	2	8	2	2	1	5	World	Temperate	High
516	KZ-ALY	Factor	9	Socio-economic_factors	NA	2	2	2	3	2	2	2	3	2	3	9	2	3	2	4	World	Temperate	High
517	KZ-ALY	Factor	9	Socio-economic_factors	NA	1	3	2	2	2	3	3	2	1	2	10	2	1	1	3	World	Temperate	High
518	KZ-ALY	Factor	8	Socio-cultural_factors	NA	2	2	2	2	2	2	2	3	1	2	8	2	2	2	5	World	Temperate	High
519	KZ-ALY	Factor	6	Natural_factors	NA	2	2	2	1	2	3	3	2	1	2	10	2	3	3	3	World	Temperate	High
520	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	1	2	2	2	2	2	1	1	1	7	1	2	3	6	World	Temperate	High
521	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	2	2	2	2	1	2	2	8	2	2	2	5	World	Temperate	High
522	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	2	2	2	2	1	1	1	7	1	3	3	6	World	Temperate	High
523	KZ-ALY	Factor	5	Institutional_factors	NA	3	2	1	2	2	2	2	1	1	1	7	1	2	2	6	World	Temperate	High
524	KZ-ALY	Factor	5	Institutional_factors	NA	2	2	2	2	2	2	2	1	1	1	7	1	2	2	6	World	Temperate	High
525	KZ-ALY	Factor	5	Institutional_factors	NA	2	2	2	2	2	2	2	2	1	2	8	2	2	3	5	World	Temperate	High
526	KZ-ALY	Factor	5	Institutional_factors	NA	1	2	2	2	2	2	2	2	1	2	8	2	2	2	5	World	Temperate	High
527	KZ-ALY	Factor	5	Institutional_factors	NA	3	2	2	2	3	2	2	1	1	1	8	2	2	2	5	World	Temperate	High
528	KZ-ALY	Factor	5	Institutional_factors	NA	3	1	1	2	2	2	1	1	1	1	6	1	1	1	7	World	Temperate	High
529	KZ-ALY	Factor	5	Institutional_factors	NA	1	2	2	3	2	2	2	2	1	2	8	2	2	3	5	World	Temperate	High
530	KZ-ALY	Factor	5	Institutional_factors	NA	3	2	2	2	3	2	2	1	1	1	8	2	2	2	5	World	Temperate	High
531	KZ-ALY	Factor	2	Governance-related_factors	NA	2	2	2	2	2	2	2	1	1	1	7	1	3	1	6	World	Temperate	High
532	KZ-ALY	Factor	3	Industrial_production-related_factors	NA	3	2	2	2	3	2	3	1	1	1	9	2	2	2	4	World	Temperate	High
533	KZ-ALY	Factor	5	Institutional_factors	NA	2	2	2	2	2	2	2	4	4	4	10	2	3	2	3	World	Temperate	High
534	KZ-ALY	Factor	9	Socio-economic_factors	NA	1	2	2	1	2	3	3	3	1	2	10	2	3	1	3	World	Temperate	High
535	KZ-ALY	Factor	2	Governance-related_factors	NA	2	2	2	2	2	2	2	2	1	2	8	2	2	2	5	World	Temperate	High
536	KZ-ALY	Factor	9	Socio-economic_factors	NA	2	2	2	2	2	2	2	2	1	2	8	2	3	2	5	World	Temperate	High
537	KZ-ALY	Factor	8	Socio-cultural_factors	NA	3	2	2	2	3	3	2	3	2	3	11	3	2	1	2	World	Temperate	High
538	KZ-ALY	Factor	8	Socio-cultural_factors	NA	3	2	2	2	3	3	2	2	2	2	10	2	2	1	3	World	Temperate	High
539	KZ-ALY	Factor	8	Socio-cultural_factors	NA	3	2	2	2	3	3	2	1	1	1	9	2	2	1	4	World	Temperate	High
540	KZ-ALY	Factor	9	Socio-economic_factors	NA	1	2	2	3	2	2	3	3	3	3	10	2	3	3	3	World	Temperate	High
541	KZ-ALY	Factor	5	Institutional_factors	NA	1	2	2	2	2	2	2	2	1	2	8	2	3	3	5	World	Temperate	High
542	KZ-ALY	Factor	2	Governance-related_factors	NA	2	1	2	2	2	2	2	4	4	4	10	2	2	2	3	World	Temperate	High
543	KZ-ALY	Factor	2	Governance-related_factors	NA	1	1	1	2	1	2	2	3	2	3	8	2	3	2	5	World	Temperate	High
544	KZ-ALY	Factor	4	Infrastructure-related_factors	NA	2	2	2	1	2	2	2	3	2	3	9	2	2	2	4	World	Temperate	High
545	KZ-ALY	Factor	5	Institutional_factors	NA	3	1	1	2	2	2	2	3	2	3	9	2	3	2	4	World	Temperate	High
546	KZ-ALY	Factor	8	Socio-cultural_factors	NA	2	2	2	2	2	2	2	1	1	1	7	1	2	2	6	World	Temperate	High
547	KZ-ALY	Factor	9	Socio-economic_factors	NA	3	2	2	3	3	2	2	3	2	3	10	2	2	2	3	World	Temperate	High
548	KZ-ALY	Factor	9	Socio-economic_factors	NA	1	1	2	2	2	2	2	3	2	3	9	2	2	2	4	World	Temperate	High
549	KZ-ALY	Factor	5	Institutional_factors	NA	3	2	2	2	3	2	2	1	1	1	8	2	2	3	5	World	Temperate	High
550	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	2	2	2	2	3	2	3	9	2	2	3	4	World	Temperate	High
551	KZ-ALY	Factor	5	Institutional_factors	NA	1	2	2	1	2	2	2	1	1	1	7	1	2	1	6	World	Temperate	High
552	KZ-ALY	Factor	5	Institutional_factors	NA	1	3	2	3	2	3	2	1	1	1	8	2	2	2	5	World	Temperate	High
553	KZ-ALY	Factor	5	Institutional_factors	NA	1	1	2	2	2	2	2	3	2	3	9	2	2	3	4	World	Temperate	High
554	KZ-ALY	Factor	5	Institutional_factors	NA	1	1	2	2	2	2	2	4	4	4	10	2	2	2	3	World	Temperate	High
555	KZ-ALY	Factor	5	Institutional_factors	NA	2	3	2	3	3	3	2	4	4	4	12	3	2	2	1	World	Temperate	High
556	KZ-ALY	Factor	2	Governance-related_factors	NA	2	2	2	2	2	2	2	3	1	2	8	2	2	2	5	World	Temperate	High
557	KZ-ALY	Factor	5	Institutional_factors	NA	3	2	2	3	3	2	2	3	2	3	10	2	2	2	3	World	Temperate	High
558	KZ-ALY	Factor	5	Institutional_factors	NA	3	2	2	2	3	2	2	3	1	2	9	2	2	2	4	World	Temperate	High
559	KZ-ALY	Factor	5	Institutional_factors	NA	1	2	2	2	2	2	2	3	1	2	8	2	2	3	5	World	Temperate	High
560	KZ-ALY	Factor	8	Socio-cultural_factors	NA	1	2	2	2	2	2	2	3	2	3	9	2	2	2	4	World	Temperate	High
561	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	3	2	2	2	1	1	1	7	1	2	2	6	World	Temperate	High
562	KZ-ALY	Factor	9	Socio-economic_factors	NA	2	3	2	2	3	2	2	3	1	2	9	2	3	2	4	World	Temperate	High
563	KZ-ALY	Factor	9	Socio-economic_factors	NA	1	1	1	2	1	2	2	2	2	2	7	1	3	2	6	World	Temperate	High
564	KZ-ALY	Factor	9	Socio-economic_factors	NA	1	2	2	2	2	2	2	1	1	1	7	1	2	2	6	World	Temperate	High
565	KZ-ALY	Factor	9	Socio-economic_factors	NA	1	2	2	2	2	2	2	4	4	4	10	2	3	3	3	World	Temperate	High
566	KZ-ALY	Factor	2	Governance-related_factors	NA	1	2	3	1	3	2	3	3	1	2	10	2	2	1	3	World	Temperate	High
567	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	2	2	1	2	3	3	3	1	2	10	2	2	2	3	World	Temperate	High
568	KZ-ALY	Factor	10	Spatial_factors	NA	3	2	3	2	3	2	3	3	1	2	10	2	3	1	3	World	Temperate	High
569	KZ-ALY	Factor	2	Governance-related_factors	NA	1	1	1	2	1	2	2	2	2	2	7	1	4	4	6	World	Temperate	High
570	KZ-ALY	Factor	7	Natural_resource-use_related_factors	NA	1	2	3	1	3	3	2	3	1	2	10	2	4	2	3	World	Temperate	High
571	KZ-ALY	Factor	9	Socio-economic_factors	NA	1	2	2	1	2	3	3	2	2	2	10	2	3	1	3	World	Temperate	High
572	KZ-ALY	Factor	9	Socio-economic_factors	NA	2	2	2	2	2	2	2	3	1	2	8	2	3	2	5	World	Temperate	High
573	KZ-ALY	Factor	6	Natural_factors	NA	1	2	4	1	3	3	2	1	1	1	9	2	4	2	4	World	Temperate	High
574	EC-SIE	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	3	3	NA	Amazon	Tropics	High
575	EC-SIE	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	NA	NA	NA	4	3	4	NA	NA	2	2	NA	Amazon	Tropics	High
576	EC-SIE	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	NA	NA	NA	3	1	2	NA	NA	NA	NA	NA	Amazon	Tropics	High
577	EC-SIE	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	NA	NA	NA	3	1	2	NA	NA	2	3	NA	Amazon	Tropics	High
